ds,y
1970-01-01 00:00:00,4
1970-01-01 00:00:01,4
1970-01-01 00:00:02,4
1970-01-01 00:00:03,5
1970-01-01 00:00:04,4
1970-01-01 00:00:05,4
1970-01-01 00:00:06,4
1970-01-01 00:00:07,4
1970-01-01 00:00:08,4
1970-01-01 00:00:09,3
1970-01-01 00:00:10,4
1970-01-01 00:00:11,4
1970-01-01 00:00:12,4
1970-01-01 00:00:13,5
1970-01-01 00:00:14,5
1970-01-01 00:00:15,4
1970-01-01 00:00:16,5
1970-01-01 00:00:17,4
1970-01-01 00:00:18,7
1970-01-01 00:00:19,5
1970-01-01 00:00:20,5
1970-01-01 00:00:21,6
1970-01-01 00:00:22,6
1970-01-01 00:00:23,7
1970-01-01 00:00:24,7
1970-01-01 00:00:25,8
1970-01-01 00:00:26,8
1970-01-01 00:00:27,6
1970-01-01 00:00:28,7
1970-01-01 00:00:29,6
1970-01-01 00:00:30,6
1970-01-01 00:00:31,8
1970-01-01 00:00:32,8
1970-01-01 00:00:33,5
1970-01-01 00:00:34,7
1970-01-01 00:00:35,6
1970-01-01 00:00:36,7
1970-01-01 00:00:37,6
1970-01-01 00:00:38,7
1970-01-01 00:00:39,9
1970-01-01 00:00:40,8
1970-01-01 00:00:41,7
1970-01-01 00:00:42,6
1970-01-01 00:00:43,6
1970-01-01 00:00:44,4
1970-01-01 00:00:45,5
1970-01-01 00:00:46,4
1970-01-01 00:00:47,4
1970-01-01 00:00:48,6
1970-01-01 00:00:49,4
1970-01-01 00:00:50,4
1970-01-01 00:00:51,4
1970-01-01 00:00:52,4
1970-01-01 00:00:53,4
1970-01-01 00:00:54,4
1970-01-01 00:00:55,4
1970-01-01 00:00:56,4
1970-01-01 00:00:57,4
1970-01-01 00:00:58,4
1970-01-01 00:00:59,4
1970-01-01 00:01:00,4
1970-01-01 00:01:01,4
1970-01-01 00:01:02,4
1970-01-01 00:01:03,4
1970-01-01 00:01:04,4
1970-01-01 00:01:05,4
1970-01-01 00:01:06,4
1970-01-01 00:01:07,4
1970-01-01 00:01:08,5
1970-01-01 00:01:09,4
1970-01-01 00:01:10,4
1970-01-01 00:01:11,3
1970-01-01 00:01:12,4
1970-01-01 00:01:13,4
1970-01-01 00:01:14,4
1970-01-01 00:01:15,4
1970-01-01 00:01:16,4
1970-01-01 00:01:17,4
1970-01-01 00:01:18,4
1970-01-01 00:01:19,4
1970-01-01 00:01:20,4
1970-01-01 00:01:21,4
1970-01-01 00:01:22,4
1970-01-01 00:01:23,4
1970-01-01 00:01:24,4
1970-01-01 00:01:25,4
1970-01-01 00:01:26,4
1970-01-01 00:01:27,4
1970-01-01 00:01:28,4
1970-01-01 00:01:29,4
1970-01-01 00:01:30,4
1970-01-01 00:01:31,4
1970-01-01 00:01:32,4
1970-01-01 00:01:33,4
1970-01-01 00:01:34,4
1970-01-01 00:01:35,4
1970-01-01 00:01:36,4
1970-01-01 00:01:37,4
1970-01-01 00:01:38,4
1970-01-01 00:01:39,4
1970-01-01 00:01:40,4
1970-01-01 00:01:41,4
1970-01-01 00:01:42,4
1970-01-01 00:01:43,4
1970-01-01 00:01:44,4
1970-01-01 00:01:45,4
1970-01-01 00:01:46,4
1970-01-01 00:01:47,4
1970-01-01 00:01:48,4
1970-01-01 00:01:49,4
1970-01-01 00:01:50,4
1970-01-01 00:01:51,4
1970-01-01 00:01:52,4
1970-01-01 00:01:53,4
1970-01-01 00:01:54,4
1970-01-01 00:01:55,4
1970-01-01 00:01:56,4
1970-01-01 00:01:57,4
1970-01-01 00:01:58,4
1970-01-01 00:01:59,3
1970-01-01 00:02:00,3
1970-01-01 00:02:01,4
1970-01-01 00:02:02,3
1970-01-01 00:02:03,5
1970-01-01 00:02:04,4
1970-01-01 00:02:05,4
1970-01-01 00:02:06,5
1970-01-01 00:02:07,3
1970-01-01 00:02:08,4
1970-01-01 00:02:09,5
1970-01-01 00:02:10,4
1970-01-01 00:02:11,5
1970-01-01 00:02:12,5
1970-01-01 00:02:13,5
1970-01-01 00:02:14,4
1970-01-01 00:02:15,5
1970-01-01 00:02:16,5
1970-01-01 00:02:17,5
1970-01-01 00:02:18,5
1970-01-01 00:02:19,5
1970-01-01 00:02:20,6
1970-01-01 00:02:21,4
1970-01-01 00:02:22,4
1970-01-01 00:02:23,5
1970-01-01 00:02:24,5
1970-01-01 00:02:25,5
1970-01-01 00:02:26,5
