ds,y
1970-01-01 00:00:00.000000000,0
1970-01-01 00:00:06.083333333,0
1970-01-01 00:00:12.166666667,0
1970-01-01 00:00:18.250000000,1
1970-01-01 00:00:24.333333333,0
1970-01-01 00:00:30.416666667,2
1970-01-01 00:00:36.500000000,3
1970-01-01 00:00:42.583333333,0
1970-01-01 00:00:48.666666667,1
1970-01-01 00:00:54.750000000,3
1970-01-01 00:01:00.833333333,3
1970-01-01 00:01:06.916666667,0
1970-01-01 00:01:13.000000000,0
1970-01-01 00:01:19.083333333,0
1970-01-01 00:01:25.166666667,0
1970-01-01 00:01:31.250000000,1
1970-01-01 00:01:37.333333333,0
1970-01-01 00:01:43.416666667,0
1970-01-01 00:01:49.500000000,0
1970-01-01 00:01:55.583333333,0
1970-01-01 00:02:01.666666667,2
1970-01-01 00:02:07.750000000,3
1970-01-01 00:02:13.833333333,2
1970-01-01 00:02:19.916666667,1
1970-01-01 00:02:26.000000000,3
1970-01-01 00:02:32.083333333,1
1970-01-01 00:02:38.166666667,0
1970-01-01 00:02:44.250000000,1
1970-01-01 00:02:50.333333333,1
1970-01-01 00:02:56.416666667,3
1970-01-01 00:03:02.500000000,2
1970-01-01 00:03:08.583333333,1
1970-01-01 00:03:14.666666667,3
1970-01-01 00:03:20.750000000,2
1970-01-01 00:03:26.833333333,1
1970-01-01 00:03:32.916666667,2
1970-01-01 00:03:39.000000000,1
1970-01-01 00:03:45.083333333,5
1970-01-01 00:03:51.166666667,4
1970-01-01 00:03:57.250000000,4
1970-01-01 00:04:03.333333333,5
1970-01-01 00:04:09.416666667,4
1970-01-01 00:04:15.500000000,4
1970-01-01 00:04:21.583333333,2
1970-01-01 00:04:27.666666667,1
1970-01-01 00:04:33.750000000,1
1970-01-01 00:04:39.833333333,2
1970-01-01 00:04:45.916666667,2
1970-01-01 00:04:52.000000000,5
1970-01-01 00:04:58.083333333,1
1970-01-01 00:05:04.166666667,1
1970-01-01 00:05:10.250000000,1
1970-01-01 00:05:16.333333333,1
1970-01-01 00:05:22.416666667,1
1970-01-01 00:05:28.500000000,1
1970-01-01 00:05:34.583333333,0
1970-01-01 00:05:40.666666667,5
1970-01-01 00:05:46.750000000,2
1970-01-01 00:05:52.833333333,1
1970-01-01 00:05:58.916666667,2
1970-01-01 00:06:05.000000000,1
1970-01-01 00:06:11.083333333,1
1970-01-01 00:06:17.166666667,4
1970-01-01 00:06:23.250000000,3
1970-01-01 00:06:29.333333333,2
1970-01-01 00:06:35.416666667,1
1970-01-01 00:06:41.500000000,3
1970-01-01 00:06:47.583333333,2
1970-01-01 00:06:53.666666667,3
1970-01-01 00:06:59.750000000,2
1970-01-01 00:07:05.833333333,0
1970-01-01 00:07:11.916666667,1
1970-01-01 00:07:18.000000000,1
1970-01-01 00:07:24.083333333,0
1970-01-01 00:07:30.166666667,2
1970-01-01 00:07:36.250000000,2
1970-01-01 00:07:42.333333333,1
1970-01-01 00:07:48.416666667,4
1970-01-01 00:07:54.500000000,1
1970-01-01 00:08:00.583333333,0
1970-01-01 00:08:06.666666667,0
1970-01-01 00:08:12.750000000,1
1970-01-01 00:08:18.833333333,3
1970-01-01 00:08:24.916666667,3
1970-01-01 00:08:31.000000000,1
1970-01-01 00:08:37.083333333,1
1970-01-01 00:08:43.166666667,0
1970-01-01 00:08:49.250000000,0
1970-01-01 00:08:55.333333333,1
1970-01-01 00:09:01.416666667,2
1970-01-01 00:09:07.500000000,1
1970-01-01 00:09:13.583333333,1
1970-01-01 00:09:19.666666667,1
1970-01-01 00:09:25.750000000,5
1970-01-01 00:09:31.833333333,0
1970-01-01 00:09:37.916666667,1
1970-01-01 00:09:44.000000000,1
1970-01-01 00:09:50.083333333,1
1970-01-01 00:09:56.166666667,1
1970-01-01 00:10:02.250000000,1
1970-01-01 00:10:08.333333333,0
1970-01-01 00:10:14.416666667,1
1970-01-01 00:10:20.500000000,0
1970-01-01 00:10:26.583333333,0
1970-01-01 00:10:32.666666667,0
1970-01-01 00:10:38.750000000,1
1970-01-01 00:10:44.833333333,1
1970-01-01 00:10:50.916666667,2
1970-01-01 00:10:57.000000000,1
1970-01-01 00:11:03.083333333,2
1970-01-01 00:11:09.166666667,0
1970-01-01 00:11:15.250000000,0
1970-01-01 00:11:21.333333333,0
1970-01-01 00:11:27.416666667,0
1970-01-01 00:11:33.500000000,0
1970-01-01 00:11:39.583333333,1
1970-01-01 00:11:45.666666667,0
1970-01-01 00:11:51.750000000,1
1970-01-01 00:11:57.833333333,1
1970-01-01 00:12:03.916666667,3
1970-01-01 00:12:10.000000000,2
